python-pytoml 0.1.21-3
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-setproctitle 1.1.10-5
python-setuptools 1:45.2.0-1
python-six 1.14.0-1
python-toml 0.10.0-3
python-ueberzug 18.1.5-2
python-urllib3 1.25.8-2
python-webencodings 0.5.1-4
python-xlib 0.26-2
python-yaml 5.3-1
python-zipp 3.1.0-1
python2 2.7.17-1
python2-appdirs 1.4.3-5
python2-backports 1.0-2
python2-cachecontrol 0.12.6-1
python2-chardet 3.0.4-4
python2-colorama 0.4.3-1
python2-configparser 4.0.2-1
python2-contextlib2 0.6.0-3
python2-distlib 0.3.0-1
python2-distro 1.4.0-3
python2-html5lib 1.0.1-7
python2-idna 2.9-1
python2-importlib-metadata 1.5.0-1
python2-ipaddress 1.0.23-1
python2-more-itertools 5.0.0-1
python2-msgpack 0.6.2-3
python2-ordered-set 3.1.1-1
python2-packaging 20.2-1
python2-pathlib2 2.3.5-1
python2-pep517 0.8.1-1
python2-pip 19.3.1-1
python2-progress 1.5-3
python2-pyparsing 2.4.6-1
python2-pytoml 0.1.21-3
python2-requests 2.23.0-1
python2-retrying 1.3.3-6
python2-scandir 1.10.0-1
python2-setuptools 2:44.0.0-1
python2-six 1.14.0-1
python2-toml 0.10.0-3
python2-urllib3 1.25.8-2
python2-webencodings 0.5.1-4
python2-zipp 1:1.1.0-1
qca 2.3.0-1
qt5-base 5.14.1-3
qt5-declarative 5.14.1-1
qt5-graphicaleffects 5.14.1-1
qt5-imageformats 5.14.1-1
qt5-location 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-quickcontrols 5.14.1-1
qt5-quickcontrols2 5.14.1-1
qt5-speech 5.14.1-1
qt5-styleplugins 5.0.0.20170311-19
qt5-svg 5.14.1-1
qt5-wayland 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webengine 5.14.1-1
qt5-x11extras 5.14.1-1
qt5ct 0.41-2
qutebrowser 1.10.1-1
ranger 1.9.3.4.gd8c363c9-1
raptor 2.0.15-12
re2 1:20200101-1
readline 8.0.004-1
reiserfsprogs 3.6.27-3
rest 0.8.1-1
rhash 1.3.9-1
ripgrep 11.0.2-1
rofi 1.5.4-1
rofi-bluetooth-git r7.87f3280-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
ruby 2.7.0-1
rubygems 3.1.2-4
run-parts 4.8.6.1-2
rustup 1.21.1-4
rxvt-unicode 9.22-9
