libteam 1.29-1
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-5
libtorrent-rasterbar 1:1.1.13-1
libunistring 0.9.10-1
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutf8proc 2.4.0-1
libutil-linux 2.34-3
libuv 1.30.1-1
libva 2.5.0-1
libvdpau 1.2-1
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.1-1
libvterm 0.1.git3.7a3913a-1
libwacom 0.33-1
libwbclient 4.10.6-1
libwebp 1.0.3-1
libwmf 0.2.12-1
libx11 1.6.8-1
libx86emu 2.3-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-2
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzen 0.4.37-2
libzip 1.5.2-2
licenses 20181104-1
lightdm 1:1.30.0-2
lightdm-settings 1.2.5-1
lightdm-slick-greeter 1.2.6-1
links 2.19-2
linux-api-headers 5.1-1
linux-firmware 20190726.dff98c6-1
linux414 4.14.138-1
linux414-virtualbox-guest-modules 6.0.10-5
llvm-libs 8.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.24-1
logrotate 3.15.0-1
lsb-release 1.4-12
lshw B.02.18-3
lua 5.3.5-2
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.184-4
lxappearance 0.6.3-2
lxinput 0.3.5-2
lxmenu-data 0.1.5-2
lynx 2.8.9-2
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
maia-console 1.2-6
mailcap 2.1.48+14+g5811758-1
maim 5.5.3-1
make 4.2.1-3
man-db 2.8.6.1-1
man-pages 5.02-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20181222-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.1-3
manjaro-hotfixes 2018.08-6
manjaro-i3-settings 20190809-1
manjaro-icons 20181011-1
manjaro-keyring 20190608-1
manjaro-printer 20170501-1
manjaro-release 18.0.4-1
manjaro-settings-manager 0.5.6-3
manjaro-settings-manager-notifier 0.5.6-3
manjaro-system 20190429-1
markdown_previewer 0.r6.64ad4d7-1
mdadm 4.1-1
mediainfo 19.04-1
memtest86+ 5.01-3
menu-cache 1.1.0-1
mesa 19.1.4-1
mesa-demos 8.4.0-1
metis 5.1.0.p6-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:430.40-1
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.129-1
mhwd-tui 0.4-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26.git.20170220-1
mobile-broadband-provider-info 20190116-1
moc 1:2.5.2-2
modemmanager 1.10.4-1
morc_menu 1.0-2
mousepad 0.4.2-2
mozilla-common 1.4-5
mpc 0.32-1
mpd 0.21.13-1
mpfr 4.0.2-1
mpg123 1.25.11-1
mpv 1:0.29.1-8
msgpack-c 3.2.0-1
mtdev 1.1.5-2
mypaint-brushes 1.3.0-3
nano 4.3-1
ncdu 1.14.1-1
ncmpcpp 0.8.2-8
ncurses 6.1-6
ndctl 66-1
neon 0.30.2-3
neovim 0.3.8-1
nerd-fonts-terminus 2.0.0-2
net-snmp 5.8-4
net-tools 1.60.20181103git-1
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.22-1.1
networkmanager 1.20.0-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
newsboat 2.15-1
nfs-utils 2.4.1-2
nfsidmap 2.4.1-2
nitrogen 1.6.1-2
nm-connection-editor 1.8.22-1.1
noto-fonts 20190111-2
npth 1.6-1
nspr 4.21-1
nss 3.45-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
odt2txt 0.5-3
open-fuse-iso 1.1-1
open-vm-tools 6:10.3.10-1
openal 1.19.1-2
openconnect 1:8.03-1
